,oversampling_ratio,repeat0,repeat1,repeat2,repeat3,repeat4,repeat5,repeat6,repeat7,repeat8,repeat9,repeat10,repeat11,repeat12,repeat13,repeat14,repeat15,repeat16,repeat17,repeat18,repeat19,repeat20,repeat21,repeat22,repeat23,repeat24,repeat25,repeat26,repeat27,repeat28,repeat29,repeat30,repeat31,repeat32,repeat33,repeat34,repeat35,repeat36,repeat37,repeat38,repeat39,repeat40,repeat41,repeat42,repeat43,repeat44,repeat45,repeat46,repeat47,repeat48,repeat49
0,0.0009765625,0.013313394971191883,0.005579974502325058,0.005557889584451914,0.015525595284998417,0.008237265050411224,0.004152704030275345,0.0021559838205575943,0.005810038186609745,0.006660588551312685,0.007545405067503452,0.022172285243868828,0.008931131102144718,0.003992499317973852,0.02026296779513359,0.022591127082705498,0.02746388129889965,0.020912693813443184,0.026336180046200752,0.002827912103384733,0.019811492413282394,0.0027623125351965427,0.016754675656557083,0.00542696937918663,0.011711763218045235,0.001012711669318378,0.00970444455742836,0.016585739329457283,0.011988856829702854,0.011039755307137966,0.013824709691107273,0.0058285086415708065,0.028766803443431854,0.010970128700137138,0.012570847757160664,0.008814547210931778,0.004679648205637932,0.004335902631282806,0.04125184193253517,0.02043609321117401,0.013621269725263119,0.006848188117146492,0.036844249814748764,0.008663889952003956,0.006685703527182341,0.01946907863020897,0.00453603221103549,0.028094753623008728,0.010632294230163097,0.0048429393209517,0.0163890291005373
1,0.00390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0087890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.024414062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.047851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0625,0.0049918340519070625,0.008281493559479713,0.011026049964129925,0.010021587833762169,0.006886815186589956,0.010449670255184174,0.008862216956913471,0.01563275046646595,0.009973970241844654,0.005506891291588545,0.02434043027460575,0.01773454248905182,0.012860564514994621,0.01446600817143917,0.0037127784453332424,0.03274102136492729,0.013347260653972626,0.008719556033611298,0.02293512597680092,0.002733243629336357,0.023532163351774216,0.01427525095641613,0.008802126161754131,0.00901290588080883,0.012626317329704762,0.009286572225391865,0.016443589702248573,0.021822625771164894,0.014730054885149002,0.008945445530116558,0.01308758556842804,0.0020818389020860195,0.0159648135304451,0.02133891172707081,0.009150166995823383,0.023559095337986946,0.009285461157560349,0.012185636907815933,0.02125711180269718,0.004729926586151123,0.026195621117949486,0.006441812496632338,0.013918152078986168,0.01147837657481432,0.00935254618525505,0.019315509125590324,0.006371225696057081,0.011005355976521969,0.005345888435840607,0.01019555889070034
8,0.07910156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.09765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.11816406,0.02992659993469715,0.017432231456041336,0.006633584387600422,0.009353505447506905,0.016983410343527794,0.026837723329663277,0.007846062071621418,0.022097760811448097,0.00671049952507019,0.00669118482619524,0.011522925458848476,0.012433988973498344,0.02370091713964939,0.021638941019773483,0.018158122897148132,0.013376079499721527,0.01496107503771782,0.0026262535247951746,0.011060288175940514,0.019763736054301262,0.009985876269638538,0.008126598782837391,0.002378360601142049,0.017880694940686226,0.019388249143958092,0.006929920054972172,0.019238969311118126,0.0028228776063770056,0.009564332664012909,0.01058509573340416,0.009049213491380215,0.038730867207050323,0.008944225497543812,0.027164535596966743,0.013976306654512882,0.010323657654225826,0.007474421989172697,0.020986752584576607,0.00836943555623293,0.016089225187897682,0.01985510066151619,0.00672728568315506,0.012073323130607605,0.027947774156928062,0.025959109887480736,0.027174046263098717,0.015860287472605705,0.0234818272292614,0.024177100509405136,0.015474406071007252
11,0.140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.16503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.19140625,0.01868993416428566,0.005854991264641285,0.017638174816966057,0.010858629830181599,0.016131043434143066,0.008090808056294918,0.009271413087844849,0.013743565417826176,0.0100005604326725,0.03231323882937431,0.02291431836783886,0.0035064953844994307,0.023561490699648857,0.0053943125531077385,0.00443459814414382,0.02453337050974369,0.016062263399362564,0.008525421842932701,0.015590379945933819,0.018502945080399513,0.022178342565894127,0.010587729513645172,0.006384725216776133,0.025752034038305283,0.00561964837834239,0.012992595322430134,0.01710149459540844,0.020153528079390526,0.022974036633968353,0.009044677019119263,0.007362792268395424,0.00853773858398199,0.002227603457868099,0.012512320652604103,0.027476586401462555,0.01027656253427267,0.0005821278318762779,0.019334811717271805,0.009891293942928314,0.006063042674213648,0.006859060376882553,0.020195355638861656,0.011705158278346062,0.005438351072371006,0.014181336387991905,0.016515713185071945,0.010508201085031033,0.003042548894882202,0.010347500443458557,0.006653140764683485
14,0.21972656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.25,0.01770089566707611,0.0021018055267632008,0.007628331892192364,0.012806410901248455,0.015258417464792728,0.019657684490084648,0.012323985807597637,0.008658202365040779,0.016450166702270508,0.011997747235000134,0.012640764005482197,0.0064722029492259026,0.001809495035558939,0.014235190115869045,0.017831379547715187,0.01586196944117546,0.014514315873384476,0.02125673182308674,0.0008329979609698057,0.005720715504139662,0.009505919180810452,0.014522654935717583,0.017449159175157547,0.008828549645841122,0.011624998413026333,0.01156891044229269,0.012226657010614872,0.012448359280824661,0.009264109656214714,0.01773514226078987,0.008495493791997433,0.017759189009666443,0.018144836649298668,0.019547348842024803,0.008356418460607529,0.005804776679724455,0.012234322726726532,0.014176717028021812,0.011700772680342197,0.011456349864602089,0.03305446356534958,0.010792202316224575,0.002317118691280484,0.02585483528673649,0.004077420104295015,0.005808285437524319,0.00555767584592104,0.01901073008775711,0.02631731703877449,0.008334510959684849
16,0.28222656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.31640625,0.008660640567541122,0.0038518121000379324,0.016777776181697845,0.016693593934178352,0.02060648426413536,0.00981531199067831,0.00374804949387908,0.026087703183293343,0.01836097240447998,0.008490624837577343,0.014232737012207508,0.013360039331018925,0.007956520654261112,0.016788193956017494,0.007779971230775118,0.016373563557863235,0.002373615512624383,0.008968116715550423,0.008739878423511982,0.015109781175851822,0.029836375266313553,0.018919799476861954,0.01612711139023304,0.026061002165079117,0.011037249118089676,0.007905668579041958,0.01258220337331295,0.0042665814980864525,0.005772978533059359,0.005067717283964157,0.006040280684828758,0.01669260300695896,0.017871418967843056,0.005549364723265171,0.024552103132009506,0.014460873790085316,0.022975504398345947,0.009662740863859653,0.027119100093841553,0.002875945530831814,0.020155049860477448,0.017476756125688553,0.022039994597434998,0.023186082020401955,0.008031992241740227,0.003958274144679308,0.01663355715572834,0.01499339658766985,0.012113075703382492,0.03723118454217911
18,0.35253906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.390625,0.011147907003760338,0.005515869706869125,0.029258865863084793,0.006745176389813423,0.006580076180398464,0.003139826003462076,0.016220880672335625,0.023874836042523384,0.013283735141158104,0.014068791642785072,0.016121231019496918,0.019436262547969818,0.01977473683655262,0.011256352066993713,0.010776204988360405,0.013888985849916935,0.011717087589204311,0.008093122392892838,0.030309751629829407,0.006887129042297602,0.0020781848579645157,0.0009672063170000911,0.028203057125210762,0.002601219341158867,0.013082518242299557,0.022923897951841354,0.016577301546931267,0.008502697572112083,0.011735642328858376,0.008242525160312653,0.002304979134351015,0.014677717350423336,0.01953519508242607,0.013944646343588829,0.008965899236500263,0.024350235238671303,0.014571228064596653,0.004427107982337475,0.02052629366517067,0.007600381504744291,0.012279505841434002,0.02036120742559433,0.0066415611654520035,0.019709158688783646,0.023135492578148842,0.007235235534608364,0.038078464567661285,0.012711526826024055,0.009756690822541714,0.02056269533932209
20,0.43066406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.47265625,0.019639702513813972,0.016360681504011154,0.005231846589595079,0.011049142107367516,0.027460085228085518,0.019741175696253777,0.005547644104808569,0.008107403293251991,0.028212053701281548,0.003942565526813269,0.03363344073295593,0.016221024096012115,0.006628106348216534,0.005872463807463646,0.01067377906292677,0.005533996038138866,0.006961559411138296,0.022980181500315666,0.030412526801228523,0.014285987243056297,0.015577143989503384,0.00694988202303648,0.008403158746659756,0.003495534649118781,0.026159539818763733,0.009570172987878323,0.014313986524939537,0.007837523706257343,0.008931956253945827,0.017516596242785454,0.03830879554152489,0.01418987475335598,0.01004734169691801,0.02304152399301529,0.0206608809530735,0.00543181924149394,0.0016910297563299537,0.01881653256714344,0.011119449511170387,0.02958502806723118,0.009384375996887684,0.025281479582190514,0.020969204604625702,0.008160504512488842,0.005432621110230684,0.021728480234742165,0.015354777686297894,0.02038654126226902,0.0028907142113894224,0.02089514397084713
22,0.51660156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.5625,0.016916494816541672,0.019411258399486542,0.0285135880112648,0.0037469188682734966,0.004573624115437269,0.0161034744232893,0.012821665033698082,0.012664017267525196,0.016952667385339737,0.01117573119699955,0.016063034534454346,0.015798641368746758,0.019529422745108604,0.0037774669472128153,0.006823446601629257,0.019726864993572235,0.002750987885519862,0.01097202580422163,0.02479476109147072,0.021742036566138268,0.021985741332173347,0.0031382599845528603,0.010995868593454361,0.021345429122447968,0.03296428918838501,0.018359586596488953,0.018059376627206802,0.014731613919138908,0.011968792416155338,0.022821392863988876,0.009756245650351048,0.015512282028794289,0.014898736961185932,0.024310007691383362,0.0018719949293881655,0.01800973154604435,0.018503235653042793,0.009850864298641682,0.013032941147685051,0.013233607634902,0.019460031762719154,0.015050304122269154,0.015510179102420807,0.012727250345051289,0.036385200917720795,0.01233820989727974,0.02041281759738922,0.010597407817840576,0.014625920914113522,0.014158801175653934
24,0.61035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
